P01316903A1040|0 17|RNA polymerase II
P01333047A0404|155 159|tein
P00112627A0542|155 159|lpha
P01328854T0000|155 158|ene
P00722298A0619|155 158|nce
P01297332A0983|155 158|nce
P00594617A0192|155 158|fic
P01429836A0457|155 158|ule
P00866577A0579|155 158|ter
P00803867A0315|155 158|ase
P01310879A0000|155 158|rin
P01396592A1113|156 164|egulator
P01420363A0818|156 161|actor
P01413984A0737|156 161|actor
P01346262A0377|156 161|otein
P01396444A0934|156 160|vity
P01329039A0239|156 160|tein
P01333047A0404|156 159|ein
P01357190A0726|156 159|lls
P00112627A0542|156 159|pha
P01327967A0668|156 159|eta
P01420579A0292|156 159|cin
P00432615A0541|156 159|ter
P01083321X0000|156 159|tan
P00954819A1041|157 165|activity
P01331086T0000|157 163|factor
P01420363A0818|157 161|ctor
P01413984A0737|157 161|ctor
P01346262A0377|157 161|tein
P00155973A0387|157 160|nce
P01329039A0239|157 160|ein
P01423738A0639|157 160|lta
P00583004A0445|157 160|fla
P01385462A0151|157 160|min
P00938594A0149|157 160|tor
P00221725A0523|158 166|activity
P00989973A0000|158 164|rabbit
P01331086T0000|158 163|actor
P01413984A0737|158 163|tor V
P01279352A1197|158 162|beta
P00378492A0475|158 161|ter
P01420363A0818|158 161|tor
P01392012A0228|158 161|gen
P01324406A1250|158 161|nce
P01346262A0377|158 161|ein
P01413984A0737|158 161|tor
P00173860A0475|158 161|nce
P01454518A0336|159 165|string
P01387105A0933|159 165|cyclin
P01452037A0000|159 164|erase
P01396592A1113|159 164|lator
P01331086T0000|159 163|ctor
P00599601A0260|159 163|olog
P01279352A1197|159 162|eta
P00321261A0104|159 162|pha
P01171935A0313|160 174|amine receptor
P01380454A0451|160 169|1 protein
P01398071A0526|160 165|erase
P01452037A0000|160 164|rase
P01331086T0000|160 163|tor
P01378052A0594|160 163|nce
P00599601A0260|160 163|log
P00583004A0445|160 163|mma
P01422265A0263|160 163|nit
P01348508A0313|160 163|ter
P01202616A0466|160 163|eta
P01464606A0344|160 163|nit
P01398071A0526|161 165|rase
P00954819A1041|161 165|vity
P01452037A0000|161 164|ase
P00988572A0000|161 164|gen
P01171935A0313|161 164|min
P01454518A0336|161 164|rin
P00321261A0104|161 164|ase
P01119658A0000|161 164|pha
P01396592A1113|161 164|tor
P01420177A1065|162 170|activity
P01380454A0451|162 169|protein
P00221725A0523|162 166|vity
P01398071A0526|162 165|ase
P00112627A0542|162 165|din
P01436261A0145|162 165|nce
P01406630A0545|162 165|din
P01228258A0000|162 165|sin
P01171935A0313|163 174|ne receptor
P01467828A0542|163 171|receptor
P01380454A0451|163 169|rotein
P01360180A1568|163 169|porter
P01310899A0339|163 166|nin
P00432615A0541|163 166|nce
P01423454A0309|163 166|ase
P00196255A0000|163 166|mis
P00378735A0000|163 166|ule
P01318310A0000|163 166|ter
P01413984A0737|163 166|III
P01413984A0737|163 165|II
P01171935A0313|164 174|e receptor
P01467828A0542|164 171|eceptor
P01433502A1163|164 170|factor
P01380454A0451|164 169|otein
P01287197A0761|164 169|group
P01360180A1568|164 169|orter
P01286732A0572|164 168|cell
P01012904A0333|164 168|form
P01427457A0000|164 167|rin
P01186344A0303|164 167|ase
P00100791A0425|164 167|ain
P01454518A0336|164 167|gen
P00838152A0863|164 167|fic
P00415543A0320|164 167|ase
P01287197A0761|164 167|gro
P01309593A1092|165 172|lobulin
P01467828A0542|165 171|ceptor
P01433502A1163|165 170|actor
P01380454A0451|165 169|tein
P00616575A0000|165 169|unit
P01360180A1568|165 169|rter
P01168956A0552|165 168|ase
P01374398A0951|165 168|min
P01012904A0333|165 168|orm
P01400401A0065|165 168|ter
P01406677A0000|165 168|nce
P01326329A0703|165 168|CAC
P01279352A0473|165 168|nce
P01171935A0313|166 174|receptor
P01467828A0542|166 171|eptor
P01420177A1065|166 170|vity
P01433502A1163|166 170|ctor
P01380454A0451|166 169|ein
P01452037A0000|166 169|TIM
P01360180A1568|166 169|ter
P00616575A0000|166 169|nit
P01395755A1023|166 169|gen
P01285009A0000|167 182|cholecystokinin
P01171935A0313|167 174|eceptor
P01467828A0542|167 171|ptor
P00232456T0000|167 171|gene
P00114144A0189|167 170|gen
P01360180A0513|167 170|ain
P01309244A0798|167 170|ter
P01333047A0404|167 170|sin
P00232456T0000|167 170|gen
P01433502A1163|167 170|tor
P01310899A0339|168 174|kinase
P01171935A0313|168 174|ceptor
P01456888A0074|168 174|system
P01467828A0542|168 171|tor
P00232456T0000|168 171|ene
P00474064A0205|168 171|tan
P01324404A1208|168 170|II
P01310899A0339|169 174|inase
P01171935A0313|169 174|eptor
P00951909X0001|169 172|-II
P01394200A0592|169 172|ter
P01357528A0084|169 172|ain
P00173860A0475|169 172|min
P01407286A0427|170 190|tyrosine hydroxylase
P00616575A0000|170 178|activity
P00105401A0635|170 177|hormone
P01310899A0339|170 174|nase
P01324404A1208|170 174|-III
P01363080A0710|170 174|rase
P01360180A1568|170 174|gene
P01171935A0313|170 174|ptor
P01360180A1568|170 173|gen
P01375224A0152|170 173|gro
P01324404A1208|170 173|-II
P00951909X0001|170 172|II
P01409643A0618|171 178|protein
P01310899A0339|171 174|ase
P00725534A0888|171 174|fic
P00105401A0635|171 174|orm
P00846559A0000|171 174|nce
P01324404A1208|171 174|III
P01398073A0986|171 174|ter
P00456424A0000|171 174|ter
P01171935A0313|171 174|tor
P01360180A1568|171 174|ene
P01363080A0710|171 174|ase
P01321337A0318|172 179|subunit
P01409643A0618|172 178|rotein
P00114144A0189|172 175|tor
P01321337A0318|173 179|ubunit
P00989973A0000|173 179|rabbit
P01409643A0618|173 178|otein
P01321332A0970|173 177|cell
P00119339A0400|173 177|gene
P01279352A1197|173 176|ase
P00330364A0132|173 176|cin
P00119339A0400|173 176|gen
P00503336A0285|173 176|din
P01215067A0000|173 176|ase
P00879329A0176|173 175|II
P01320255A0795|174 184|transcript
P00224013A0661|174 183|esistance
P01321337A0318|174 179|bunit
P00616575A0000|174 178|vity
P01409643A0618|174 178|tein
P01407286A0427|174 177|sin
P01469042A0355|174 177|ter
P00096241A0087|174 177|ter
P00119339A0400|174 177|ene
P01363080A0710|175 184|inhibitor
P00224013A0661|175 183|sistance
P01321337A0318|175 179|unit
P01228258A0000|175 178|ide
P01333047A0404|175 178|rin
P01321332A0970|175 178|lls
P01409643A0618|175 178|ein
P00485615A0935|175 178|nce
P01363080A0710|176 184|nhibitor
P00224013A0661|176 183|istance
P01309860A0559|176 179|nce
P01333125A0000|176 179|ter
P01321337A0318|176 179|nit
P00060529A0695|176 179|tic
P00432615A0541|176 179|pha
P01363080A0710|177 184|hibitor
P01431380A0244|177 182|group
P01406677A0000|177 181|tide
P01406703A1435|177 181|cell
P01396572A0320|177 180|tor
P01090210A0417|177 180|pha
P01431380A0244|177 180|gro
P01469047A1606|178 185|oxylase
P00224013A0661|178 183|tance
P01310899A0339|178 181|ain
P01398071A0526|178 181|III
P01385462A0151|178 181|min
P01406677A0000|178 181|ide
P00224013A0661|178 181|tan
P01313909A0526|178 181|tan
P01324404A1208|178 181|ain
P01398071A0526|178 180|II
P01407286A0427|179 190|hydroxylase
P01279352A1197|179 185|porter
P01469047A1606|179 185|xylase
P01285009A0000|179 182|nin
P00086313A0000|179 182|tin
P01470243A0871|179 182|ase
P01098179A0167|179 182|ase
P01406703A1435|179 182|lls
P01090210A0417|179 182|ase
P01392277A0000|179 182|tan
P01171935A0313|180 191|sensitivity
P01279352A1197|180 185|orter
P00224013A0661|180 183|nce
P00681550A0000|180 183|ter
P01171935A0313|181 191|ensitivity
P01394200A0592|181 189|receptor
P01279352A1197|181 185|rter
P01363080A0710|181 184|tor
P01436261A0145|181 184|tin
P00222102A0227|181 184|orm
P01394200A0592|182 189|eceptor
P01279352A1197|182 185|ter
P00474064A0205|182 185|tan
P01387105A0933|182 185|nce
P01215067A0000|182 185|nce
P01450815A0337|182 185|ase
P01469047A1606|182 185|ase
P01407286A0427|183 190|oxylase
P01406630A0965|183 190|kappa B
P00432615A0541|183 189|system
P01394200A0592|183 189|ceptor
P01348508A0313|183 187|gene
P00114144A0189|183 186|ase
P01348508A0313|183 186|gen
P00136175A1137|183 186|ECA
P01458170A0155|183 186|ase
P00909114A0000|183 186|ter
P00681550A0000|183 186|min
P01310178A0876|183 186|ain
P00898500A0246|184 192|activity
P01171935A0313|184 191|itivity
P00055040A0000|184 191|antigen
P01407286A0427|184 190|xylase
P01394200A0592|184 189|eptor
P00663166A0000|184 188|rter
P01348508A0313|184 187|ene
P01460054A0478|184 187|min
P00167544A0067|185 192|surface
P00055040A0000|185 191|ntigen
P00524451A0136|185 190|lamin
P01394200A0592|185 189|ptor
P00663166A0000|185 188|ter
P00456424A0000|185 188|ter
P01436261A0145|185 188|nce
P01316461A1083|185 188|ide
P01116254A0000|185 188|nce
P01215067A0000|185 188|pha
P01078982A0227|185 188|pha
P01413984A0737|186 197|plasminogen
P01413984A0737|186 193|plasmin
P01279352A0473|186 193|protein
P01339468A0272|186 193|protein
P00167544A0067|186 192|urface
P00055040A0000|186 191|tigen
P01279352A1197|186 190|gene
P01279352A1197|186 189|gen
P00112627A0542|186 189|tan
P01448917A0775|186 189|PSM
P00377466A0188|186 189|pha
P01394200A0592|186 189|tor
P01279352A0473|187 193|rotein
P01339468A0272|187 193|rotein
P01171935A0313|187 191|vity
P00055040A0000|187 191|igen
P01279352A1197|187 190|ene
P01407286A0427|187 190|ase
P00926604A0504|187 190|pha
P00970488A0105|187 190|tic
P01384165A0000|187 190|tin
P00361340A0529|187 190|fic
P00524451A0136|187 190|min
P01310154A0879|188 195|protein
P01279352A0473|188 193|otein
P01339468A0272|188 193|otein
P00898500A0246|188 192|vity
P01423454A0309|188 192|tive
P00167544A0067|188 192|face
P00361340A0529|188 192|ican
P00918556A0000|188 191|ase
P00055040A0000|188 191|gen
P01352113A0231|188 191|min
P01316461A1083|188 191|nce
P00377466A0188|188 191|ase
P01413984A0737|189 197|sminogen
P01310154A0879|189 195|rotein
P00838152A0863|189 194|group
P01279352A0473|189 193|tein
P01339468A0272|189 193|tein
P01078982A0227|189 192|ide
P00838152A0863|189 192|gro
P01460054A0478|189 192|ter
P00361340A0529|189 192|can
P01310154A0879|190 195|otein
P01328854T0000|190 194|cell
P01333047A0404|190 193|nin
P00429949A0000|190 193|ter
P01339468A0272|190 193|ein
P01413984A0737|190 193|min
P01279352A0473|190 193|ein
P01326329A0703|191 200|activator
P01413984A0737|191 197|inogen
P01310154A0879|191 195|tein
P00361340A0529|191 194|nce
P01321332A0970|191 194|nce
P01423454A0309|191 194|ene
P00330364A0132|191 194|ain
P01328854T0000|192 195|lls
P00553858A0000|192 195|ter
P01456888A0074|192 195|ter
P01310154A0879|192 195|ein
P00628990A0000|192 195|ter
P01082833A0000|192 195|nin
P00594617A0192|193 196|nce
P01422265A0263|194 202|response
P01098179A0167|194 202|activity
P00574956A0304|194 200|system
P00300314A0132|194 197|rin
P01413984A0737|194 197|gen
P01228882A0437|194 197|ase
P01310178A0876|195 205|transcript
P01470243A0871|195 198|nce
P01395755A1023|195 198|min
P01394200A0592|195 198|CD4
P01309593A1092|196 200|gene
P01379150A0996|196 199|mia
P01321337A0318|196 199|cin
P01309593A1092|196 199|gen
P01326329A0703|197 200|tor
P01309593A1092|197 200|ene
P00589073A0000|197 200|tor
P01413984A0737|198 207|activator
P01098179A0167|198 202|vity
P00264240A1843|198 201|yte
P01326329A0703|199 208|r protein
P00196255A0000|199 202|nce
P01452037A0000|200 203|ter
P00105401A0635|200 203|ain
P01244236A1122|200 203|tor
P01310154A0879|200 203|fic
P01458170A0155|201 209|activity
P01326329A0703|201 208|protein
P01418860A0797|201 208|channel
P01406630A0545|201 204|nce
P01321337A0318|201 204|rin
P00836637A0000|201 204|ein
P01285009A0000|202 212|beta-actin
P01326329A0703|202 208|rotein
P01285009A0000|202 206|beta
P01456888A0074|202 205|cin
P01378052A0594|203 212|activator
P01326329A0703|203 208|otein
P00027967A0207|203 208|onset
P01285009A0000|203 206|eta
P00114144A0189|203 206|ase
P01380454A0451|204 224|transcription factor
P01380454A0451|204 214|transcript
P01346262A0377|204 211|protein
P01326329A0703|204 208|tein
P00027967A0207|204 208|nset
P01413984A0737|204 207|tor
P01294345A0591|204 207|ain
P01300914A1066|204 207|lls
P00377466A0188|204 207|ase
P01346262A0377|205 211|rotein
P01458170A0155|205 209|vity
P00627129A0944|205 209|beta
P01326329A0703|205 208|ein
P01413984A0737|206 217|r inhibitor
P01436261A0145|206 216|calcitonin
P01244236A1122|206 214|activity
P01328681A0149|206 213|protein
P01346262A0377|206 211|otein
P00627129A0944|206 209|eta
P01328681A0149|207 213|rotein
P01346262A0377|207 211|tein
P00105401A0635|207 210|nce
P00881630A0000|207 210|ter
P01321280A0494|208 222|fusion protein
P01413984A0737|208 217|inhibitor
P01328681A0149|208 213|otein
P01285009A0000|208 212|ctin
P00429949A0000|208 211|nce
P00119339A0400|208 211|pha
P00330364A0132|208 211|ase
P01346262A0377|208 211|ein
P01380454A0451|209 224|cription factor
P01413984A0737|209 217|nhibitor
P01328681A0149|209 213|tein
P01285009A0000|209 212|tin
P01378052A0594|209 212|tor
P01413984A0737|210 217|hibitor
P01420363A0818|210 216|factor
P01244236A1122|210 214|vity
P00196255A0000|210 213|ene
P01328681A0149|210 213|ein
P01420363A0818|211 216|actor
P01321280A0494|212 222|on protein
P00485615A0935|212 216|form
P01394200A0592|212 216|cell
P01420363A0818|212 216|ctor
P01313715A0461|212 215|yte
P00015731A0090|212 215|ase
P01380454A0451|213 224|tion factor
P01321280A0494|213 222|n protein
P01384229A0175|213 216|ter
P01436261A0145|213 216|nin
P01420363A0818|213 216|tor
P00485615A0935|213 216|orm
P00838152A0863|213 216|min
P01316461A1083|214 221|protein
P01394200A0592|214 217|lls
P01380454A0451|215 224|on factor
P01321280A0494|215 222|protein
P01316461A1083|215 221|rotein
P01310154A0879|215 219|gene
P01421390T0000|215 218|mia
P01310154A0879|215 218|gen
P01321280A0494|216 222|rotein
P00627129A0944|216 222|ceptor
P01316461A1083|216 221|otein
P01313715A0461|216 220|cell
P01348590A0000|216 220|agen
P00686836A0000|216 219|min
P01310154A0879|216 219|ene
P01321280A0494|217 222|otein
P00627129A0944|217 222|eptor
P01316461A1083|217 221|tein
P01458170A0155|217 221|beta
P00838152A0863|217 220|nce
P01395755A1023|217 220|min
P00485615A0935|217 220|nce
P01348590A0000|217 220|gen
P01380454A0451|218 224|factor
P01321280A0494|218 222|tein
P00627129A0944|218 222|ptor
P01378052A0594|218 221|nce
P01458170A0155|218 221|eta
P01316461A1083|218 221|ein
P01119658A0000|218 221|eta
P01358758A0000|218 221|nce
P01413984A0737|219 247|tissue plasminogen activator
P01338867A0503|219 225|system
P01380454A0451|219 224|actor
P01285009A0000|219 223|gene
P01321280A0494|219 222|ein
P00627129A0944|219 222|tor
P00183063A0300|219 222|can
P01285009A0000|219 222|gen
P01380454A0451|220 224|ctor
P01168908A0000|220 223|ter
P01406630A0545|220 223|nce
P01285009A0000|220 223|ene
P01380454A0451|221 224|tor
P00183063A0300|221 224|nce
P00663166A0000|222 226|olog
P00663166A0000|223 226|log
P00988572A0000|223 226|gen
P01119658A0000|223 226|ase
P00686836A0000|224 227|eta
P01398106A0754|225 228|ter
P00429949A0000|225 228|IRP
P01413984A0737|226 237|plasminogen
P01413984A0737|226 233|plasmin
P00330364A0132|226 229|cin
P01422265A0263|226 229|lia
P00830568A0000|226 228|II
P01279352A0473|227 230|nce
P01313846A0850|228 238|s receptor
P01357528A0084|228 235|surface
P01372802A1481|228 231|pha
P01398106A0754|228 231|min
P01413984A0737|229 237|sminogen
P01357528A0084|229 235|urface
P01406630A0545|229 232|fic
P00947327A0000|229 232|tic
P01313846A0850|230 238|receptor
P01413984A0737|230 233|min
P01372802A1481|230 233|ase
P01313846A0850|231 238|eceptor
P01413984A0737|231 237|inogen
P01357528A0084|231 235|face
P01313846A0850|232 238|ceptor
P00553858A0000|232 235|rin
P01384229A0175|233 267|chloramphenicol acetyl transferase
P01313846A0850|233 238|eptor
P00155973A0387|233 236|min
P01313846A0850|234 238|ptor
P01413984A0737|234 237|gen
P00836637A0000|234 237|nce
P01313846A0850|235 238|tor
P01309593A1092|236 243|protein
P01452037A0000|236 240|gene
P00574956A0304|236 239|min
P01278251A0000|236 239|ter
P01452037A0000|236 239|gen
P01309593A1092|237 243|rotein
P00594617A0192|237 240|fic
P01244236A1122|237 240|ase
P01452037A0000|237 240|ene
P01413984A0737|238 247|activator
P01310154A0879|238 245|protein
P01309593A1092|238 243|otein
P00909114A0000|238 242|ound
P00378492A0475|238 242|rter
P00429949A0000|239 248|prolactin
P01380454A0451|239 246|kappa B
P01448917A0775|239 246|protein
P01310154A0879|239 245|rotein
P01309593A1092|239 243|tein
P01278251A0000|239 242|ial
P00378492A0475|239 242|ter
P01448917A0775|240 246|rotein
P01310154A0879|240 245|otein
P01309593A1092|240 243|ein
P01431380A0244|240 243|tic
P01448917A0775|241 246|otein
P01310154A0879|241 245|tein
P01326329A0703|241 244|tic
P01448917A0775|242 246|tein
P01310154A0879|242 245|ein
P01418860A0797|242 245|ter
P01406630A0545|243 250|protein
P00015731A0090|243 246|ase
P01448917A0775|243 246|ein
P01406630A0545|244 250|rotein
P01309593A1092|244 248|gene
P00429949A0000|244 248|ctin
P01413984A0737|244 247|tor
P01309593A1092|244 247|gen
P01406630A0545|245 250|otein
P01309593A1092|245 248|ene
P01452037A0000|245 248|ter
P01259027A0416|245 248|nce
P00429949A0000|245 248|tin
P01406630A0545|246 250|tein
P00838152A0863|246 249|fic
P00330364A0132|246 249|ain
P01406630A0545|247 250|ein
P01326329A0703|248 256|response
P00836637A0000|248 251|ein
P01384229A0175|249 267|acetyl transferase
P00733067A0188|251 257|system
P01413984A0737|252 273|von Willebrand factor
P01282638A0934|252 255|tin
P01357528A0084|252 255|ter
P01448917A0775|253 260|protein
P01448917A0775|254 260|rotein
P01448917A0775|255 260|otein
P01313846A0850|255 259|cell
P00947327A0000|255 259|agen
P01384229A0175|256 267|transferase
P01448917A0775|256 260|tein
P00947327A0000|256 259|gen
P01413984A0737|257 273|illebrand factor
P01384229A0175|257 267|ransferase
P01448917A0775|257 260|ein
P00155973A0387|257 260|min
P01384229A0175|258 267|ansferase
P00114144A0189|258 264|enzyme
P01448917A0775|258 263|inase
P01191964A0000|259 264|group
P01448917A0775|259 263|nase
P00336547A0000|259 262|ain
P01191964A0000|259 262|gro
P01431380A0244|259 262|din
P00114144A0189|260 264|zyme
P01448917A0775|260 263|ase
P01384229A0175|262 267|erase
P01413984A0737|263 273|and factor
P01384229A0175|263 267|rase
P01384229A0175|264 267|ase
P01413984A0737|265 273|d factor
P01409643A0618|265 271|factor
P01321337A0318|265 268|cin
P01448917A0775|266 272|factor
P01409643A0618|266 271|actor
P01313846A0850|267 277|n molecule
P01456888A0074|267 276|e protein
P01413984A0737|267 273|factor
P01448917A0775|267 272|actor
P01409643A0618|267 271|ctor
P01300914A1066|267 270|nce
P01413984A0737|268 273|actor
P01448917A0775|268 272|ctor
P01409643A0618|268 271|tor
P01395755A1023|268 271|min
P01313846A0850|269 277|molecule
P01456888A0074|269 276|protein
P00838152A0863|269 274|group
P01413984A0737|269 273|ctor
P01448917A0775|269 272|tor
P00838152A0863|269 272|gro
P01313846A0850|270 277|olecule
P01456888A0074|270 276|rotein
P01324385A0329|270 275|group
P01413984A0737|270 273|tor
P01324385A0329|270 273|gro
P01321337A0318|270 273|rin
P01456888A0074|271 276|otein
P01380454A0451|271 274|ATF
P01406677A0000|272 277|erase
P01456888A0074|272 276|tein
P00725534A0888|272 276|rosy
P01406677A0000|273 277|rase
P01456888A0074|273 276|ein
P01384229A0175|274 278|gene
P01313846A0850|274 277|ule
P01406677A0000|274 277|ase
P01384229A0175|274 277|gen
P01159822A0353|275 278|ule
P01384229A0175|275 278|ene
P01413984A0737|276 279|nce
P01380454A0451|276 279|REB
P01456888A0074|277 280|p55
P01090210A0417|277 280|nce
P01406677A0000|278 282|gene
P01406677A0000|278 281|gen
P01082833A0000|278 281|nit
P00619948A0000|278 281|eta
P01406677A0000|279 282|ene
P00330364A0132|279 282|tor
P00378735A0000|280 288|response
P01116254A0000|280 283|min
P00722298A0619|281 286|group
P00722298A0619|281 284|gro
P00055040A0000|282 289|lobulin
P01321332A0970|283 288|ARP-1
P01282638A0934|284 287|ule
P01384229A0175|284 287|AT2
P00155973A0387|285 288|min
P01448917A0775|287 295|helicase
P01395755A1023|289 292|min
P01448917A0775|292 295|ase
P00089778A0000|295 303|cataract
P00594617A0192|295 298|ase
P01312005A0600|296 299|ase
P01326329A0703|297 305|response
P01282638A0934|298 301|ter
P01470243A0871|302 309|albumin
P01300914A1066|303 306|ter
P01470243A0871|306 309|min
P00055040A0000|310 313|rin
P01456888A0074|310 313|nce
P01448917A0775|311 318|protein
P00055040A0000|311 317|inogen
P00540707A0255|311 314|pha
P01448917A0775|312 318|rotein
P01448917A0775|313 318|otein
P01448917A0775|314 318|tein
P00055040A0000|314 317|gen
P01448917A0775|315 318|ein
P01452037A0000|316 319|tan
P01191964A0000|324 327|nce
P01300914A1066|329 332|mia
P01282638A0934|341 344|tan
P00089778A0000|342 350|cataract
P01448917A0775|344 351|protein
P01448917A0775|345 351|rotein
P01448917A0775|346 351|otein
P01448917A0775|347 351|tein
P01448917A0775|348 351|ein
P01448917A0775|349 354|inase
P01448917A0775|350 354|nase
P01448917A0775|351 354|ase
P00947327A0000|351 354|ide
P01470243A0871|360 365|group
P01470243A0871|360 363|gro
P01431380A0244|372 376|cell
P01448917A0775|373 383|polymerase
P01431380A0244|374 377|lls
P01448917A0775|378 383|erase
P01448917A0775|379 383|rase
P01448917A0775|380 383|ase
P00947327A0000|381 384|min
P01431380A0244|386 389|tic
P00224013A0661|401 405|beta
P00224013A0661|402 405|eta
P00224013A0661|412 417|lator
P00224013A0661|414 426|tor receptor
P00224013A0661|414 417|tor
P00224013A0661|418 426|receptor
P00224013A0661|419 426|eceptor
P00224013A0661|420 426|ceptor
P00947327A0000|420 423|din
P00224013A0661|421 426|eptor
P00224013A0661|422 426|ptor
P01300914A1066|429 440|sensitivity
P01372802A1481|429 436|protein
P01300914A1066|430 440|ensitivity
P01372802A1481|430 436|rotein
P01372802A1481|431 436|otein
P01372802A1481|432 436|tein
P01300914A1066|433 440|itivity
P01372802A1481|433 436|ein
P01300914A1066|436 440|vity
P01300914A1066|489 492|nce
P01431380A0244|500 503|tic
P01300914A1066|507 510|ial
P01300914A1066|529 532|fic
P01300914A1066|596 607|sensitivity
P01300914A1066|597 607|ensitivity
P01300914A1066|600 607|itivity
P01300914A1066|603 607|vity
P01300914A1066|719 722|orm
P01300914A1066|801 804|tin
P01300914A1066|812 818|stasis
P01340470A0000|29 32|rbp
P01119586A0337|89 92|tat
P01321280A0494|127 130|tat
P01452037A0000|274 277|tat
